time,mass,r_xyz_x,r_xyz_y,r_xyz_z,v_xyz_x,v_xyz_y,v_xyz_z,thrust_xyz_x,thrust_xyz_y,thrust_xyz_z
0,1905,1500.0,0.0,2000.0,-75.0,0.0,100.0,0.0,0.0,0.0
0.09999999999999999,1902.9119223682478,1492.4963220642328,0.0,2009.880097064897,-75.03608078446541,0.0,97.60381241233702,7134.853261578393,0.0,-50515.35352966192
0.20000000000000004,1900.6069653225675,1484.9928604272084,0.0,2019.4947306942802,-75.03316842173997,0.0,94.956194716279,7157.86131022183,0.0,-50157.812254932556
0.3000000000000001,1898.3178797742382,1477.4897816164962,0.0,2028.8454601431556,-75.02859078669576,0.0,92.3241695387326,7180.852486427928,0.0,-49801.40749820147
0.4000000000000002,1896.0446101952148,1469.987252158914,0.0,2037.9338446595007,-75.02234788686147,0.0,89.70773680920402,7203.82737168837,0.0,-49446.1303912559
0.5000000000000002,1893.7871013845693,1462.485438580525,0.0,2046.761443484218,-75.01443972981667,0.0,87.10689645672335,7226.786545032071,0.0,-49091.97210911043
0.6000000000000003,1891.5452984648266,1454.9845074066302,0.0,2055.329815851087,-75.00486632319226,0.0,84.52164840983981,7249.730583038306,0.0,-48738.92386965876
0.7000000000000004,1889.3191468782666,1447.4846251617655,0.0,2063.640520986714,-74.99362767467102,0.0,81.95199259661676,7272.660059849254,0.0,-48386.976933327824
0.8000000000000005,1887.1085923831936,1439.9859583696962,0.0,2071.695118110486,-74.98072379198815,0.0,79.39792894462678,7295.575547182107,0.0,-48036.12260273463
0.9000000000000006,1884.913581050166,1432.48867355341,0.0,2079.4951664345194,-74.96615468293186,0.0,76.85945738094668,7318.477614340637,0.0,-47686.352222345726
1.0000000000000007,1882.7340592581925,1424.992937235114,0.0,2087.042225163612,-74.94992035534376,0.0,74.33657783215227,7341.3668282262015,0.0,-47337.65717813905
1.1000000000000008,1880.5699736908866,1417.4989159362267,0.0,2094.3378534951894,-74.93202081711958,0.0,71.82929022431327,7364.243753348256,0.0,-46990.02889726876
1.2000000000000008,1878.4212713325778,1410.006776177376,0.0,2101.383610619257,-74.91245607620965,0.0,69.33759448298802,7387.108951834331,0.0,-46643.45884773226
1.300000000000001,1876.287899464383,1402.5166844783894,0.0,2108.1810557183485,-74.89122614061945,0.0,66.86149053321822,7409.962983439387,0.0,-46297.938538040056
1.400000000000001,1874.1698056602277,1395.0288073582929,0.0,2114.731747967473,-74.8683310184103,0.0,64.40097829952339,7432.806405554625,0.0,-45953.459516888026
1.500000000000001,1872.0669377828215,1387.5433113353017,0.0,2121.0372465340606,-74.84377071769977,0.0,61.956057705895574,7455.639773215702,0.0,-45610.013372832414
1.6000000000000012,1869.9792439795833,1380.0603629268173,0.0,2127.0991105779126,-74.81754524666245,0.0,59.52672867579367,7478.463639110361,0.0,-45267.591733967296
1.7000000000000013,1867.906672678511,1372.5801286494202,0.0,2132.9188992511467,-74.78965461353037,0.0,57.112991132137836,7501.278553585363,0.0,-44926.18626760458
1.8000000000000014,1865.8491725840004,1365.102775018864,0.0,2138.498171698144,-74.76009882659378,0.0,54.7148449973038,7524.085064652903,0.0,-44585.78867995673
1.9000000000000015,1863.8066926726015,1357.6284685500707,0.0,2143.83848705549,-74.72887789420166,0.0,52.332290193117004,7546.883717996249,0.0,-44246.390715821864
2.0000000000000013,1861.779182188717,1350.1573757571239,0.0,2148.9414044519244,-74.69599182476247,0.0,49.965326640846854,7569.675056974821,0.0,-43907.984158271574
2.099999999999999,1859.766590640237,1342.6896631532627,0.0,2153.808483008283,-74.66144062674455,0.0,47.61395426120062,7592.45962262842,0.0,-43570.5608283412
2.199999999999997,1857.7688677941076,1335.2254972508767,0.0,2158.4412818374394,-74.62522430867699,0.0,45.278172974317506,7615.23795368095,0.0,-43234.11258472277
2.299999999999995,1855.7859636718292,1327.7650445614993,0.0,2162.841360044252,-74.58734287915024,0.0,42.9579826997625,7638.010586543242,0.0,-42898.63132346047
2.399999999999993,1853.8178285448837,1320.3084715958,0.0,2167.0102767255025,-74.5477963468167,0.0,40.653383356520095,7660.778055315235,0.0,-42564.10897764865
2.4999999999999907,1851.8644129300858,1312.8559448635817,0.0,2170.949590969838,-74.50658472039146,0.0,38.36437486298806,7683.540891787275,0.0,-42230.53751713252
2.5999999999999885,1849.9256675848546,1305.4076308737706,0.0,2174.6608618577143,-74.4637080086529,0.0,36.090957136971014,7706.2996254407335,0.0,-41897.90894821137
2.6999999999999864,1848.0015435024056,1297.9636961344127,0.0,2178.145648461334,-74.41916622044353,0.0,33.83313009567394,7729.054783447737,0.0,-41566.215313344364
2.7999999999999843,1846.0919919068524,1290.5243071526654,0.0,2181.405509844587,-74.3729593646705,0.0,31.590893655695552,7751.8068906700455,0.0,-41235.448690859004
